"participant_id","condition","human_beauty","ai_beauty","human_depth","ai_depth","human_creativity","ai_creativity","human_liking","ai_liking","human_awe","ai_awe","human_absorption","ai_absorption","human_pleasure","ai_pleasure","human_energy","ai_energy","human_interest","ai_interest","human_insight","ai_insight","human_boredom","ai_boredom","human_anxiety","ai_anxiety","human_sadness","ai_sadness","human_valence","ai_valence","human_arousal","ai_arousal","human_emotional_attention","ai_emotional_attention"
24,1,5.38888888888889,5.40555555555556,4.65,3.92222222222222,5.20555555555556,4.98888888888889,6.13888888888889,6.04444444444444,5.37777777777778,4.33888888888889,5.54444444444444,5.59444444444444,5.54444444444444,5.37777777777778,5.81111111111111,5.18333333333333,5.8,5.18888888888889,5.46666666666667,4.63888888888889,1.27777777777778,1.11111111111111,1.58333333333333,1.25,1.76111111111111,1.77222222222222,4.96111111111111,4.74444444444444,4.37222222222222,4.06666666666667,3.4,3.29444444444444
25,1,5.12777777777778,4.71111111111111,3.67777777777778,2.81111111111111,4.15555555555556,3.13333333333333,5.77222222222222,5.39444444444444,3.47777777777778,1.87222222222222,4.28333333333333,3.45,3.99444444444444,3.33333333333333,5.13333333333333,4.76666666666667,5.12222222222222,4.32222222222222,3.94444444444444,2.8,1.21666666666667,1.12222222222222,1.70555555555556,1.22222222222222,1.86666666666667,1.47777777777778,4.06666666666667,3.88888888888889,2.91666666666667,2.6,2.75,2.24444444444444
26,1,3.73333333333333,3.73333333333333,2.66666666666667,1.93333333333333,2.4,2.46666666666667,4.06666666666667,3.73333333333333,3.2,2.13333333333333,2.8,2.86666666666667,3.13333333333333,3.2,3.46666666666667,3.86666666666667,2.73333333333333,3.06666666666667,1.73333333333333,2,1.66666666666667,1.53333333333333,2.73333333333333,2.33333333333333,3.13333333333333,2.8,4.06666666666667,4,4.46666666666667,3.86666666666667,3.6,3.86666666666667
27,1,5.4,4.46666666666667,2.73333333333333,2.86666666666667,4.13333333333333,4.2,5.66666666666667,5.2,2.86666666666667,2.66666666666667,4.06666666666667,3.4,3.86666666666667,3.4,4.06666666666667,4.13333333333333,4.53333333333333,4.33333333333333,1.73333333333333,2,1.2,2,1.86666666666667,2,2.46666666666667,1.6,4.4,4.4,3,2.53333333333333,3.8,3.46666666666667
28,1,5.54603174603175,5.43492063492063,2.03809523809524,1.53015873015873,1.76507936507937,1.15873015873016,6.22539682539682,5.92380952380952,1.97142857142857,1.28888888888889,4.46666666666667,4.26666666666667,4.97460317460318,4.87936507936508,5.4,5.01904761904762,5.22539682539682,4.67936507936508,3.6031746031746,2.18730158730159,1,1.11111111111111,1.0952380952381,1,1.19047619047619,1.33333333333333,4.92698412698413,4.52063492063492,4.51428571428571,4.13968253968254,4.28253968253968,3.37460317460318
29,1,5.93888888888889,5.93333333333333,5.91111111111111,5.52222222222222,6.11111111111111,5.08888888888889,6.33333333333333,6.36111111111111,5.43888888888889,5.47222222222222,5.86666666666667,5.9,6.04444444444444,6.07222222222222,5.88888888888889,5.92222222222222,5.61666666666667,5.16666666666667,5.91666666666667,6.42777777777778,1,1.06666666666667,1.4,1.46666666666667,2.32777777777778,2.23333333333333,4.51111111111111,4.75555555555556,4.82222222222222,4.64444444444444,5.1,5.35
30,1,5.41111111111111,5.54444444444444,5.13333333333333,5.13333333333333,5.58888888888889,5.42777777777778,5.94444444444444,5.95,2.16666666666667,2.39444444444444,5.66666666666667,5.84444444444444,5.28333333333333,5.59444444444444,5.42222222222222,5.81666666666667,5.35555555555556,5.63888888888889,4,3.81111111111111,1.16666666666667,1.25,1.11111111111111,1.16666666666667,1.22222222222222,1.33333333333333,4.6,4.81666666666667,4.71111111111111,4.96111111111111,4.98333333333333,4.75555555555556
31,1,4.44047619047619,4.05555555555555,1.95238095238095,1.44444444444444,3.78571428571429,4.72222222222222,4.0952380952381,3.11111111111111,2.19047619047619,1,1.96428571428571,1.38888888888889,2.52380952380952,2.27777777777778,3.25,2.88888888888889,3.14285714285714,2.5,2.27380952380952,1.22222222222222,1.36904761904762,3.16666666666666,2.25,2.44444444444444,2.51190476190476,1.44444444444445,3.58333333333333,3.22222222222222,3.83333333333333,3.77777777777778,2.76190476190476,1.77777777777778
32,1,5.38888888888889,4.72222222222222,3.27777777777778,3.02222222222222,3.06111111111111,3.07777777777778,5.7,5.27222222222222,4.35,3.8,5.63888888888889,4.97222222222222,5.16111111111111,4.81666666666667,5.65555555555556,5.02222222222222,5.27222222222222,4.58333333333333,5.07777777777778,4.28888888888889,1.24444444444444,1.70555555555556,1.31111111111111,1.96666666666667,1.53333333333333,1.68333333333333,4.69444444444444,3.97222222222222,3.7,2.53888888888889,4.79444444444444,4.11111111111111
33,1,4.55555555555556,4.02777777777778,2.87777777777778,2.65555555555556,2.57777777777778,2.41666666666667,4.45,3.76111111111111,2.91111111111111,3.11666666666667,2.31111111111111,1.94444444444444,1.83333333333333,1.18888888888889,2.7,2.57777777777778,2,1.66111111111111,1.55555555555556,1.33333333333333,1.38888888888889,1.38888888888889,1.30555555555556,1.80555555555556,1.05555555555556,1.16666666666667,3.82222222222222,3.64444444444444,2.35555555555556,2.43333333333333,2.15,1.70555555555556
34,1,3.6,3.26666666666667,2.33333333333333,1.53333333333333,3.26666666666667,1.86666666666667,4.13333333333333,3.46666666666667,2.06666666666667,1.8,2.46666666666667,1.8,2.93333333333333,2.46666666666667,3.6,3.6,4.06666666666667,3.26666666666667,2.6,2.53333333333333,2.2,1.66666666666667,2.33333333333333,1.73333333333333,1.4,2,3.4,3.86666666666667,4.06666666666667,2.4,3.53333333333333,3
35,1,4.80555555555556,4.74444444444444,4.31111111111111,4.12222222222222,4.3,3.96666666666667,4.99444444444444,4.96111111111111,5.62222222222222,5.33333333333333,4.87222222222222,4.66666666666667,4.98333333333333,5.15,5.05555555555556,4.85,4.86111111111111,4.90555555555556,4.81666666666667,4.54444444444444,1.20555555555556,1.31666666666667,1.15,1.31111111111111,1.40555555555556,1.31111111111111,3.84444444444444,4.02777777777778,3.12777777777778,3.33888888888889,3.78888888888889,3.40555555555556
36,1,4.46666666666667,3.78333333333333,3.13888888888889,2.61111111111111,3.60555555555556,3.27777777777778,4.47222222222222,4.06666666666667,3.98333333333333,3.22222222222222,3.80555555555556,3.21666666666667,3.48333333333333,3.01666666666667,3.4,3.51666666666667,3.81666666666667,2.98888888888889,2.42222222222222,1.88888888888889,1.12222222222222,1.65555555555556,1.13333333333333,1.2,1.87777777777778,1.4,3.68888888888889,3.72777777777778,3.50555555555556,3.33333333333333,2.78888888888889,2.11111111111111
37,1,4.24444444444444,4.07222222222222,4.93888888888889,3.87222222222222,4.67222222222222,4.15555555555556,4.67222222222222,4.05555555555556,3.88333333333333,2.98888888888889,4.05555555555556,3.62777777777778,4.23333333333333,3.67222222222222,4.09444444444444,4.47777777777778,4.49444444444444,3.85555555555556,4.71666666666667,3.74444444444444,2.21666666666667,2.62222222222222,2.61666666666667,2.64444444444444,2.50555555555556,2.38333333333333,4.22777777777778,4.04444444444444,3.75555555555556,3.57777777777778,4.2,3.71666666666667
38,1,6.10555555555556,3.78888888888889,2.44444444444444,2.32777777777778,4.35555555555556,4.13888888888889,6.6,4.37222222222222,1.73333333333333,1.64444444444444,3.02222222222222,1.92222222222222,5.44444444444444,3.3,5.82222222222222,4.47777777777778,5.07222222222222,3.16111111111111,4.38333333333333,2.85,1.38888888888889,2.62222222222222,1.17777777777778,1.92222222222222,1,1.11111111111111,5.33888888888889,3.50555555555556,3.31666666666667,3.08333333333333,2.87777777777778,2
39,1,5.19365079365079,5.1968253968254,4.43174603174603,4.3015873015873,4.9015873015873,4.9015873015873,5.82539682539683,5.97142857142857,5.82222222222222,5.84444444444444,6.14603174603175,6.30793650793651,5.64444444444444,5.99047619047619,5.8984126984127,6.10793650793651,6.0984126984127,5.96825396825397,5.9968253968254,6.02857142857143,1.3047619047619,1.35555555555556,1.34920634920635,1.51428571428571,1.19047619047619,1.06666666666667,4.69206349206349,4.74285714285714,4.75555555555556,4.51428571428571,4.10793650793651,4.19047619047619
40,1,4.96666666666667,4.45555555555556,3.21111111111111,2.73888888888889,4.83333333333333,4.2,5.35555555555556,5.04444444444444,3.78888888888889,3.62777777777778,4.66666666666667,4.53333333333333,4.75555555555556,4.79444444444444,4.05,4.03333333333333,5.26111111111111,5.11666666666667,3.32777777777778,3.82777777777778,1.11111111111111,1.13333333333333,2.1,1.46666666666667,2.18888888888889,2.38888888888889,4.30555555555556,4.16111111111111,3.98888888888889,3.9,4.22777777777778,4.26666666666667
41,1,5.03333333333333,3.90833333333333,4.14166666666667,3.13333333333333,4.91666666666667,4.80833333333333,5.68333333333333,4.23333333333333,4.825,3.85,5.175,4.35833333333333,4.875,4.03333333333333,4.975,5.04166666666667,5.3,4.20833333333333,4.48333333333333,4.075,1.06666666666667,1,1,1,1.5,1.125,4.10833333333333,4.28333333333333,3.34166666666667,2.24166666666667,3.95833333333333,3.50833333333333
42,1,6.19444444444444,4.97222222222222,6.01111111111111,4.63888888888889,6.12222222222222,4.65,6.61666666666667,5.28333333333333,6.25555555555556,4.22777777777778,6.28333333333333,4.32777777777778,6.00555555555556,3.89444444444444,5.75,4.3,6.39444444444444,4.28333333333333,6.16111111111111,3.86666666666667,1,1.30555555555556,1,1.25,1.11111111111111,1.16666666666667,5.07777777777778,4.08333333333333,5.42222222222222,4.26666666666667,4.28888888888889,3.57777777777778
43,2,5.06666666666667,4.06666666666667,3.74444444444444,3.68333333333333,4.42222222222222,3.9,5.65555555555556,4.43333333333333,2.08333333333333,2.21111111111111,4.52777777777778,3.9,4.43888888888889,3.73888888888889,5.56666666666667,5.33333333333333,5.75,5.44444444444444,4.30555555555556,4.87777777777778,1,1.24444444444444,1.08333333333333,1.35555555555556,2.11666666666667,1.43333333333333,5.16111111111111,4.67222222222222,3.84444444444444,4.29444444444444,5.43333333333333,4.94444444444444
44,2,5.46666666666667,3.69444444444444,5.50555555555556,3.66111111111111,4.84444444444444,3.31111111111111,6.16111111111111,4.53888888888889,5.79444444444444,4.1,6.3,4.56666666666667,6.01666666666667,4.11111111111111,5.44444444444444,4.87777777777778,6.10555555555556,4.48888888888889,6,4.26111111111111,1.7,2.96666666666667,2.56666666666667,2.51666666666667,3.26666666666667,3.2,4.12222222222222,3.57777777777778,4.06111111111111,2.78888888888889,5.12222222222222,4.07222222222222
45,2,5.94444444444444,4.58333333333333,4.38333333333333,2.6,5.18333333333333,3.11666666666667,6.02222222222222,4.20555555555556,2.49444444444444,1.77777777777778,4.95,3.21666666666667,4.46111111111111,3.15,5.50555555555556,4.97222222222222,5.79444444444444,3.75,4.13888888888889,4.06666666666667,1,1.16666666666667,1.34444444444444,1.65,1.16666666666667,1.33333333333333,5.08888888888889,4.56666666666667,4.38888888888889,3.92222222222222,5.43333333333333,2.73888888888889
46,2,5.03888888888889,4.33333333333333,3.45555555555556,1.74444444444444,4.60555555555556,1.96666666666667,5.03333333333333,3.52222222222222,3.77777777777778,2.1,4.23888888888889,2.18888888888889,4.34444444444444,2.41666666666667,5.8,4.13333333333333,4.58888888888889,3.14444444444444,3.83333333333333,2.56111111111111,1.08333333333333,1.33333333333333,1.88333333333333,1.66666666666667,2.48333333333333,1.86111111111111,4.44444444444444,3.77777777777778,4.73333333333333,2.67777777777778,3.56111111111111,1.91666666666667
47,2,5.27222222222222,3.83888888888889,1.66111111111111,1.57777777777778,2.66111111111111,2.02777777777778,4.41111111111111,2.16666666666667,2.07777777777778,1.44444444444444,1.22222222222222,1,3.20555555555556,1.96666666666667,4.40555555555556,2.31666666666667,2.74444444444444,1.53333333333333,1,1,1,1.11111111111111,1,1.27777777777778,1.5,1.16666666666667,4.55,4.03888888888889,3.52777777777778,2.28888888888889,2.19444444444444,1.35555555555556
48,2,5.375,4.99206349206349,4.81944444444444,4.16666666666667,4.77777777777778,3.6984126984127,5.54166666666667,5.27777777777778,6.5,5.26190476190476,4.79166666666667,4.01587301587301,4.94444444444444,4.18253968253968,5.45833333333333,4.65079365079365,5.04166666666667,4.42857142857143,5.93055555555556,4.92063492063492,1.58333333333333,1.57142857142857,1.91666666666667,1.92857142857143,2.20833333333333,1.70634920634921,4.23611111111111,3.46031746031746,3.95833333333333,3.61111111111111,4.65277777777778,3.81746031746032
49,2,5.37777777777778,3.62777777777778,2.7,1.84444444444444,4.12222222222222,2.04444444444444,6.2,3.15555555555556,2.55,2.16666666666667,5.30555555555556,2.33333333333333,2.55555555555556,1.38333333333333,3.38333333333333,2.78333333333333,4.93333333333333,2.98888888888889,1.88333333333333,1.33333333333333,1,1.84444444444444,2.46666666666667,1.5,1.93333333333333,1.72222222222222,4.36111111111111,3.79444444444444,4.41666666666667,2.66111111111111,4.00555555555556,2.45
50,2,3.68888888888889,3.81666666666667,2.96666666666667,2.86111111111111,2.89444444444444,2.80555555555556,3.55,3.71666666666667,2.32222222222222,1.8,2.36111111111111,2.35,2.75555555555556,2.99444444444444,3.76666666666667,3.41666666666667,3.17777777777778,3.40555555555556,3.15,2.65,1.25,1.11111111111111,2.11666666666667,1.33333333333333,1.88888888888889,1.96666666666667,4.02777777777778,3.83888888888889,3.97222222222222,3.6,3.93333333333333,3.46666666666667
51,2,5.96428571428571,5.72222222222222,4.35714285714286,3.5,3.79761904761905,3.05555555555556,6.26190476190476,6.27777777777778,4.5952380952381,4.83333333333333,6.26190476190476,5.5,5.32142857142857,4.22222222222222,5.46428571428571,4.88888888888889,6.13095238095238,5.38888888888889,5.53571428571429,4.72222222222222,1.78571428571429,1.72222222222222,2.73809523809524,3.05555555555556,2.96428571428571,2.44444444444445,3.78571428571429,3.5,5.42857142857143,4.61111111111111,4.64285714285714,3.44444444444444
52,2,6.16666666666667,5.35714285714286,5.83333333333333,4.57142857142857,6.38888888888889,5.10714285714286,7,6.27380952380952,6.77777777777778,4.45238095238095,6.94444444444444,5.82142857142857,6.94444444444444,6.08333333333333,6.94444444444444,6.27380952380952,6.94444444444444,5.91666666666667,7.11111111111111,5.94047619047619,1.44444444444444,1.80952380952381,2.5,2.61904761904762,2.77777777777778,2.77380952380952,4.94444444444444,4.77380952380952,6.05555555555556,5.10714285714286,6.11111111111111,5.27380952380952
53,2,4.80952380952381,4.33333333333333,4.53571428571429,3.94444444444444,4.58333333333333,3.33333333333333,5.5,5.22222222222222,3.72619047619048,2.94444444444444,4.67857142857143,4.38888888888889,5.10714285714286,4.38888888888889,5.25,5,5.39285714285714,5.05555555555556,4.79761904761905,4,1.08333333333333,1.05555555555556,1.54761904761905,1.27777777777778,1.63095238095238,1.27777777777778,4.26190476190476,4.22222222222222,4.63095238095238,4.38888888888889,4.63095238095238,3.88888888888889
54,2,4.67857142857143,4.55555555555556,3.79761904761905,3.16666666666667,4.78571428571429,4.11111111111111,5.3452380952381,4.27777777777778,3.73809523809524,3.88888888888889,4.13095238095238,3.5,4,3.38888888888889,4.6547619047619,4.22222222222222,5.32142857142857,4.83333333333333,4.66666666666667,3.83333333333333,1.16666666666667,1.44444444444444,3.04761904761905,2.83333333333333,3.77380952380952,3.66666666666667,3.73809523809524,3.11111111111111,3.86904761904762,3.66666666666667,4.52380952380952,4.38888888888889
55,2,3.88333333333333,3.59444444444444,3.8,3.72222222222222,4.01666666666667,3.72222222222222,3.81111111111111,3.93333333333333,2.20555555555556,1.68888888888889,2.76666666666667,2.97777777777778,3.19444444444444,3.13888888888889,3.48333333333333,3.46111111111111,3.51666666666667,3.49444444444444,2.66111111111111,2.22222222222222,1,1,1.19444444444444,1.25,1.11111111111111,1.08333333333333,4.17222222222222,4.4,3.63333333333333,3.78333333333333,4.08333333333333,3.45
56,2,6.2,4.86666666666667,4.6,4,4.46666666666667,3.73333333333333,7.06666666666667,5.66666666666667,5.33333333333333,4.46666666666667,6.4,4.93333333333333,7,5.06666666666667,6.2,5.4,5.93333333333333,4.66666666666667,6.53333333333333,5.66666666666667,1.06666666666667,1.2,1,1.2,1.06666666666667,1.46666666666667,5.86666666666667,4.46666666666667,5.13333333333333,4.73333333333333,4.4,4.4
